PK,path,depth,état,carte,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,desc_en,Len115,example_fr,Lxfr145,example_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
547,3.3,2,ok,1,,Résultat invalide,17,,Invalid result,14,,,Vos conclusions reposent sur un raisonnement mathématique erroné.,65,Drawing conclusions from invalid mathematical reasoning.,56,L'accélération moyenne de la voiture A est supérieure à celle de la voiture B ; la voiture A roule donc plus vite que la voiture B.,131,"Our toothpaste has a 67% higher quality than other, more ordinary brands of toothpaste.",87,"exemple dentifrice ok. on ne voit pas quel est le raisonnement matheux foiruex, mais on devine bien une couille dans le paté. Donc c bien pour une catégorie de niveau 2
",,Rien de tel qu'une bonne guerre pour stimuler l'économie !,Nothing beats a good war to create economic growth.,,,,circle,savant cosinus sur son tableau,,
548,3.3.1,3,Jesse OK,2,,Imprécision,11,,Vagueness,9,,http://www.fallacyfiles.org/vaguenes.html,Votre argumentation se fonde sur des données trop vagues.,57,Using arguments based on imprecise data.,40,"Pour le même prix, offrez-vous notre nouvelle formule double fraicheur !",72,Try our new formula with double fresh effect for the same price.,64,On pourrait faire mieux sur les exemples,,,,,,,circle,,,
549,3.3.1.1,4,,,,Fausse précision,16,,,0,https://en.wikipedia.org/wiki/False_precision,,Votre argument utilise des nombres exacts là où ils ne sont que approximatifs. ,79,,0,"Le squelette de dinosaure que vous voyez ici a 100 000 005 ans, car le paléoanthropologue m'a dit qu'il avait 100 000 000 quand j'ai commencé à travailler ici il y a 5 ans. ",173,,,,,,,,,,circle,,,
550,3.3.1.1.1,5,,,,Manipuler les statistiques,26,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/122/Lying-with-Statistics,,Vous utilisez les statistiques pour votre argument sans les interroger. ,72,,0,Tu as vu les chiffres ? Le moral de la population est en chute libre !,70,,,,,,,,,,circle,,,
551,3.3.1.2,4,Jesse OK,1,,Faux équilibre,14,,False balance,13,https://fr.wikipedia.org/wiki/Faux_%C3%A9quilibre_m%C3%A9diatique,https://en.wikipedia.org/wiki/False_balance,Vous attribuez injustement la même valeur à deux points de vue différents.,74,Presenting opposing viewpoints as more balanced than they actually are.,71,La communauté scientifique est divisée quant à la réalité du changement climatique.,83,The reality of global warming is a matter of debate within the scientific community.,84,,,,,"Il faut qu'une porte soit ouverte ou fermée.""",,,circle,élépĥant funambule,,
552,3.3.1.2.1,5,,,,Inflation du conflit,20,, ,1,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/113/Inflation-of-Conflict,,Votre argument invoque la contradiction des autorités pour justifier l'impossibilité d'aboutir à une conclusion. ,113,,0,"Ma mère dit qu'il faut que je passe 2h à faire mes devoirs à la maison, mon père 1/2 heure à la maison, et moi je dis qu'il suffit de bien jouer au football. ",158,,,,,,,,,,circle,,,
553,3.3.1.2.1.1,6,,,,Tactique de l'incertitude,25,,,0,http://rationalwiki.org/wiki/Uncertainty_tactic,,Votre argument vise à instiller le doute dans le consensus général. ,68,,0,"Bien qu'il soit établit que le goudron de la cigarette soit cancérigène, n'importe qui inhale tant de particules fines cancérigènes dans la rue. Donc la cigarette n'est pas cancérigène.  ",187,,,,,,,,,,circle,,,
554,3.3.1.2.2,5,Jesse OK,2,,Juste milieu,12,,Golden mean fallacy,19,https://yourlogicalfallacyis.com/fr/le-juste-milieu,https://en.wikipedia.org/wiki/Argument_to_moderation,"Face à deux positions antagonistes, vous êtes certain que la solution réside dans le compromis.",95,Asserting that the truth must be found as a compromise between two opposite positions.,86,Tu préfères le lundi et moi le mercredi ? Coupons la poire en deux et voyons-nous donc mardi !,94,You prefer Monday and I Wednesday: let's meetup on Tuesday.,59,,ad temperantiam,,,,,,circle,,,
555,3.3.1.2.2.1,6,,,,Design par comité,17,,,0,https://en.wikipedia.org/wiki/Design_by_committee,,Votre argument s'appuie sur l'idée qu'un groupe ne peut prendre la responsabilité d'un plan unifié. ,100,,0,Il suffit de nommer une commission théodule pour nous débarrasser du sujet. ,76,,,,,,,a camel is a horse designed by committee,,,circle,,,
556,3.3.1.2.3,5,,,,Coup de projecteur,18,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/165/Spotlight-Fallacy,,Votre argument s'appuie sur l'idée que la représentation des médias équivaut à la réalité. ,91,,0,"Tu as vu tous ces reportages sur les jeunes délinquants de banlieue ? La prochaine fois que j'en vois un, je sais quoi faire. ",126,,,,,,,,,,circle,,,
557,3.3.1.2.4,5,,,,Sophisme de la vitre cassée,27,,,0,https://fr.wikipedia.org/wiki/Sophisme_de_la_vitre_cassA13%A9e,,"Votre argument s'appuie sur l'idée que ce dont on est propriétaire on peut le détruire, qu'il faut alors le reconstruire, et que l'ensemble produit de la richesse supplémentaire. ",179,,0,"Mon garagiste a comme enseigne ""vous pouvez tous aller crever"", et même avec un tel slogan, il crée de la richesse pour tous. ",126,,,,,,,,,,circle,,,
558,3.3.1.3,4,,,,Appel aux extrèmes,18,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/30/Appeal-to-Extremes,,Votre argument pousse aux extrêmes les conséquences de votre hypothèse. ,72,,0,"- Plus tu fais d'exercice à ton âge mieux c'est. - Oui, mais si je ne faisais que du sport dans ma vie, je m'effondrerais aussitôt.  ",133,,,,,,,,,,circle,,,
559,3.3.1.3.1,5,Jesse OK,1,,Pente glissante,15,,Slippery slope,14,https://fr.wikipedia.org/wiki/Pente_savonneuse,https://en.wikipedia.org/wiki/Slippery_slope,Vous attribuez à un événement anodin la valeur de déclencheur inévitable d'une série de réactions.,98,Conjuring up a chain of events culminating in a significant negative effect.,76,"Si nous le laissons se resservir de ce plat, il prendra l'habitude de manger à l'excès et deviendra obèse.",106,"If you let him have another piece, he'll get used to eating too much and end up obese.",86,liens t causale et sémantique,,,,Qui vole un oeuf vole un boeuf.,5.3.2.1.2 4.1.1.6,,circle,homme qui glisse,,
560,3.3.1.3.2,5,,,,L'abus n'exclut pas l'usage (Abusus non tollit usum),52,,,0,http://www.locutio.net/locutio/modules.php?name=Encyclopedia&op=content&tid=6663,,Votre argument suppose que ce n'est pas parce que quelques uns abusent d'une chose qu'il faut l'interdire à tous. ,114,,0,"Oui, j'ai salarié ma femme et mes enfants, je vois pas pourquoi il faudrait une loi pour l'interdire. ",102,,,,,,,,,,circle,,,
561,3.3.1.3.3,5,Jesse OK,2,,Hypothèse non plausible,23,,Least Plausible Hypothesis,26,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/117/Least-Plausible-Hypothesis,"Entre plusieurs explications, vous choisissez la plus improbable.",65,Choosing less plausible explanations over more likely ones.,59,Il doit vraiment avoir une dent contre moi pour m'avoir attribué une si mauvaise note.,86,He graded my essay very poorly. That's because he hates me.,59,liens t  XXXX la même que 1.1.2.3.1 hypothèse farfelue? principe de parcimonie. ad hoc sauvetage.,,,,,"1.1.2.3.1
1.1.2
1.3.3
",,circle,,,
562,3.3.1.3.4,5,,,,Défilé des horreurs,19,,,0,https://en.wikipedia.org/wiki/Parade_of_horribles,,"Votre argument liste les possibles horreurs qui résulteraient d'une action, sans mettre en évidence la nature de ces ""horreurs"". ",129,,0,"Mais la dernière chose que nous souhaitons est une alliance forte avec l'Allemagne, car nous y serions asphyxié. ",113,,,,,,,,,,circle,,,
563,3.3.2,3,ok,2,,Erreur de calcul,16,,Erroneous calculation,21,,,Vos conclusions reposent sur une faute d'arithmétique.,54,"Making errors in the calculation from which conclusions are drawn.
",67,"Sachant qu'un croissant coûte un euro et cinquante centimes, avec dix euros tu peux largement en acheter huit.",110,"Take these 10 pounds and go buy us 8 muffins, they are 1.50 each.",65,,,,,,,,circle,,,
564,3.3.2.1,4,,,,Double compte,13,,,0,https://en.wikipedia.org/wiki/Double_counting_(fallacy),,Votre argument compte plusieurs fois le même élément ce qui donne un ensemble supérieur à 100%. ,96,,0,"J'ai une chance sur six de tirer un 5, puis encore une chance sur six de retirer un 5, ce qui fait 1/6+1/6 = 12/36. Or la probabilité de tirer au moins une fois un 5 sur deux coups est en fait de 11/36 puisqu'il fallait inclure la possibilité de tirer un double 5. ",265,,,,,,,,,,circle,,,
565,3.3.2.2,4,A valider et terminer Jesse. Est-ce bien ce à quoi cette carte correspond?,,,Paradoxe,8,,Paradoxe,8,,https://en.wikipedia.org/wiki/List_of_paradoxes,Vous utilisez des paradoxes pour argumenter de manière irrationnelle.,69,Using paradoxical reasoning to argue in an irrational manner.,61,C'est en choisissant qu'on accède à l'éternité.,47,,,,,,,,,,circle,cube de eischer,,
566,3.3.2.2.1,5,,,,Dollar manquant,15,,,0,https://fr.wikipedia.org/wiki/A13%89nigme_du_dollar_manquant,,,0,,0,"Trois amis sont au restaurant. Venue la fin du repas, le serveur leur apporte l'addition de 30 dollars. Chacun donne alors 10 dollars. Le serveur ramène l'argent au patron du restaurant, qui constate une erreur dans l'addition. Le repas coûtait en fait 25 dollars. Les trois amis ont donc payé 5 dollars de trop. Le patron donne donc 5 pièces de 1 dollar au serveur pour qu'il les rende aux clients. Mais le serveur, voulant se faire un peu plus d'argent, ne rend que 3 dollars aux convives (1 dollar à chaque client), et garde les 2 autres pour lui.  Problème : chaque convive a donc payé 9 dollars, pour un total de 27 dollars, et le serveur en a empoché 2. Mais 27 et 2 font 29 et non 30. Où est le dollar manquant ?",719,,,,,,,,,,circle,,,
567,3.3.2.2.2,5,,,,les deux enveloppes,19,,,0,https://fr.wikipedia.org/wiki/Paradoxe_des_deux_enveloppes,,,0,,0,,0,,,,,,,,,,circle,,,
568,3.3.2.2.3,5,,,,Paradoxe du cellophane,22,,,0,https://en.wikipedia.org/wiki/Cellophane_paradox,,,0,,0,,0,,,,,,,,,,circle,,,
569,3.3.2.2.4,5,,,,Paradoxe de Russell,19,,,0,http://rationalwiki.org/wiki/Russell%27s_paradox,,Vous formulez un paradoxe de l'ensemble de tous les ensembles qui ne s'appartiennent pas. ,90,,0,"Un barbier, qui ne rase que ceux qui ne se rasent pas eux-mêmes, se rase-t-il lui-même ?",88,,,,,,,,,,circle,,,
570,3.3.2.2.5,5,,,,Phénomène de Rogers,19,,,0,https://fr.wikipedia.org/wiki/PhA13%A9nomA13%A8ne_de_Rogers,,"En déplaçant un élément numérique d'un ensemble vers un autre, vous faites augmenter la moyenne des deux ensembles.  ",117,,0,"Soit deux ensembles A et B :  A = {5, 6, 7, 8, 9} B = {1, 2, 3, 4} La moyenne de A est 7, et la moyenne de B est 2,5. Si on déplace le 5 de A vers B, on a alors :  A = {6, 7, 8, 9} B = {1, 2, 3, 4, 5} La nouvelle moyenne de A est 7,5, celle de B est 3. En déplaçant un élément, on a augmenté la moyenne de chacun des deux ensembles.",332,,,,,,,,,,circle,,,
571,3.3.2.3,4,,,,Erreur numérique,16,,,0,https://en.wikipedia.org/wiki/Numerical_error,,Votre argument s'appuie sur des valeurs numéraires imprécises ou inexactes. ,76,,0,"A la louche, il y en a pour 25 000 euro, ce n'est pas tant que ça. ",67,,,,,,,,,,circle,,,
572,3.3.3,3,ok,2,,Opération inappropriée,22,,"Wrong reasoning
",16,,,Vous usez de raisonnements scientifiques à mauvais escient.,59,Using invalid mathematical reasoning.,37,"Dans la fable de La Fontaine, chaque fois que le lièvre avance, la tortue avance aussi, empêchant ainsi le lièvre de combler son retard.",136,"The quickest runner can never overtake the slowest. The pursuer must first reach the point whence the pursued started, so the slowest always holds a lead.",154,,,,,,,,circle,,,
573,3.3.3.1,4,,,,Sophismes mathématiques,23,,,0,https://en.wikipedia.org/wiki/Mathematical_fallacy,,,0,,0,,0,,,,,,,,,,circle,,,
574,3.3.3.1.1,5,,,,Division par zéro,17,,,0,http://mathworld.wolfram.com/Fallacy.html,,"Votre argument procède à une division par 0, ce qui est impossible. ",68,,0,2=1,3,,,,,,,,,,circle,,,
575,3.3.3.1.2,5,,,,Pseudo démonstrations,21,,,0,https://fr.wikipedia.org/wiki/Pseudo-dA13%A9monstration_d%27A13%A9galitA13%A9_entre_nombres,,,0,,0,,0,,,,,,,,,,circle,,,
576,3.3.3.2,4,,,,Mauvaise application d'une notation,35,,,0,,,,0,,0,,0,,,,,,,,,,circle,,,
577,3.3.3.3,4,,,,Pseudoscience,13,,,0,http://skepdic.com/pseudosc.html,,,0,,0,,0,,,,,,,,,,circle,,,
578,4,1,Jesse OK,1,,"Erreur
logique",14,,Faulty logics,13,,https://en.wikipedia.org/wiki/Fallacy#Logical_fallacies,Vous basez votre thèse sur un raisonnement incohérent.,54,Reaching a conclusion via faulty logics.,40,,0,"If there is no solution, then there is no problem.",50,,,,,,,,square,engrenages,#6ab400,
579,4.1,2,Jesse OK,1,,Causalité douteuse,18,,Questionable causality,22,,http://www.nizkor.org/features/fallacies/questionable-cause.html,Vous affirmez qu'un fait en a provoqué un autre en établissant un enchaînement très discutable.,95,Asserting debatable causality relations. ,41,Pas étonnant qu'il obtienne de si bonnes notes à l'école : c'est le chouchou du professeur !,92,No wonder he makes such good grades. She’s the teacher’s pet.,61,, Non causa pro causa,,,,,,circle,mains se dessinent l'une l'autre,,
580,4.1.1,3,Jesse OK,2,,Pétition de principe,20,,Begging the question,20,https://fr.wikipedia.org/wiki/PA13%A9tition_de_principe,https://en.wikipedia.org/wiki/Begging_the_question,Votre argumentation présuppose la véracité de sa conclusion.,60,Attempting to prove a proposition by using an argument that takes the proposition for granted.,94,La peine de mort est un châtiment juste car certains crimes méritent d'être ainsi punis.,88,Death penalty is fair because some crimes deserve that punishment.,66,liens t analogie à pet prin,petitio principii,,,,"5.2.2.1
2.1.1.2
4.1.1
2.1.1.2",,circle,,,
581,4.1.1.1,4,Jesse OK,1,,Argument circulaire,19,,Circular reasoning,18,https://fr.wikipedia.org/wiki/Argument_circulaire,https://en.wikipedia.org/wiki/Circular_reasoning,Votre raisonnement repose sur des éléments qui présupposent que votre conclusion est vraie.,91,Your logical chain of reasoning involves propositions that are only true if the conclusion is true. ,100,"L'existence de la Bible prouve celle de Dieu, puisque c'est lui qui l'a dictée aux hommes.",90,"God exists because the Bible says it and can't be wrong, being dictated by God.",79,,Circulus in demonstrando,,,,,,circle,uroburos,,
582,4.1.1.1.1,5,,,,Cercle Cartésien,16,,,0,https://en.wikipedia.org/wiki/Cartesian_circle,,Votre argument est circulaire et vous immunise du doute. ,57,,0,"Des perceptions claires et distinctes ne sont possible qu'en Dieu, mais la preuve que Dieu existe nécessite des perceptions claires et distinctes. ",147,,,,,,,,,,circle,,,
583,4.1.1.2,4,,,,Compliquer les questions,24,,,0,22f4110b-d415-4de9-b0b8-eb2d1253a891,,,0,,0,,0,,,,,,,,,,circle,,,
584,4.1.1.3,4,,,,Ignoratio elenchi,17,,,0,e535e268-c962-4d76-b6f0-6cf9dbc3e2ba,,Votre argument prend la forme d'une réponse qui ne répond pas à la question. ,77,,0,Est-ce que la loi m'autorise à faire cela ? La loi devrait certainement te l'autoriser pour telle et telle raison. ,115,,,,,,,,,,circle,,,
585,4.1.1.4,4,,,,Analogie à pétition de principe,31,,,0,a11de021-40ca-4459-a002-9b1b485610a1,,,0,,0,,0,,,,,,,,,,circle,,,
586,4.1.1.5,4,,,,Support subverti,16,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/172/Subverted-Support,,Votre argument explique un phénomène par un autre qui n'a pas forcément lieu. ,78,,0,"Si autant d'enfants meurent de faim dans le monde, c'est parce que tout le monde s'en fiche. ",93,,,,,,,,,,circle,,,
587,4.1.1.6,4,,,,Pente glissante (causale),25,,,0,www.fallacyfiles.org/slipslop.html#Causal,,Vous argumentez qu'un changement mineur va nécessairement entraîner une série  de changements. ,95,,0,Aujourd'hui le gouvernement veut intervenir sur la cigarette. Et demain ?,73,,,,,,,,,,circle,,,
588,4.1.2,3,Jesse OK,2,,Inversion de causalité,22,,Reversed causality,18,http://sophismes.free.fr/#causal,https://en.wikipedia.org/wiki/Wrong_direction,Vous considérez les conséquences d'un fait comme l'ayant provoqué et vice versa.,80,Permuting cause and effect.,27,"Il est dangereux d'utiliser un fauteuil roulant, puisque la plupart des personnes qui en sont équipées ont déjà été victimes d'accidents.",137,"Using a wheelchair is dangerous, because most people who use them have had an accident.",87,,,,,,,,circle,,,
589,4.1.2.1,4,Jesse OK,1,,Affirmation du conséquent,25,,Affirming the consequent,24,https://fr.wikipedia.org/wiki/Affirmation_du_consA13%A9quent,https://en.wikipedia.org/wiki/Affirming_the_consequent,Vous déduisez une cause de son effet sans prendre en compte les autres causes possibles.,88,Inferring the antecedent from the consequent of an implication without considering alternate causes.,100,"Après une averse, le sol est toujours mouillé. Le sol est mouillé donc il a plu.",80,"When I have the flu, I have a sore throat. Today I have a sore throat.Thus I have the flu.",90,,,,,,,,circle,,,
